from,to,year,week
hindu,islam,2016,16
hindu,islam,2016,16
hindu,islam,2016,16
hindu,christianity,2016,16
hindu,islam,2016,16
hindu,islam,2016,16
hindu,islam,2016,17
christian,hindu,2016,17
christian,islam,2016,17
hindu,christianity,2016,17
hindu,islam,2016,17
hindu,christianity,2016,17
hindu,islam,2016,34
hindu,islam,2016,34
christian,hindu,2016,34
hindu,islam,2016,34
islam,hindu,2016,34
hindu,islam,2016,34
hindu,islam,2016,34
hindu,christianity,2016,23
hindu,islam,2016,23
hindu,christianity,2016,23
hindu,islam,2016,23
hindu,islam,2016,23
islam,hindu,2016,23
hindu,christianity,2016,23
hindu,christianity,2016,41
hindu,islam,2016,41
hindu,islam,2016,41
hindu,christianity,2016,41
hindu,christianity,2016,41
christian,islam,2016,41
hindu,christianity,2016,41
christian,islam,2016,41
hindu,islam,2016,41
hindu,islam,2016,41
hindu,christianity,2016,41
hindu,islam,2016,36
hindu,islam,2016,36
christian,hindu,2016,36
hindu,islam,2016,36
hindu,christianity,2016,36
hindu,christianity,2016,36
hindu,christianity,2016,9
islam,hindu,2016,9
hindu,christianity,2016,9
hindu,christianity,2016,9
hindu,islam,2016,9
hindu,islam,2016,9
islam,hindu,2016,9
hindu,islam,2016,6
hindu,islam,2016,6
christian,islam,2016,6
hindu,christianity,2016,6
christian,hindu,2016,6
hindu,islam,2016,6
christian,hindu,2016,42
christian,hindu,2016,42
hindu,christianity,2016,42
hindu,christianity,2016,42
christian,islam,2016,42
hindu,islam,2016,42
hindu,islam,2016,42
hindu,islam,2016,42
hindu,islam,2016,2
hindu,islam,2016,2
christian,hindu,2016,2
hindu,christianity,2016,2
hindu,islam,2016,2
hindu,islam,2016,2
hindu,christianity,2016,25
hindu,christianity,2016,25
hindu,christianity,2016,25
hindu,christianity,2016,25
christian,hindu,2016,25
hindu,christianity,2016,25
hindu,islam,2016,51
hindu,christianity,2016,51
hindu,islam,2016,51
hindu,islam,2016,51
hindu,islam,2016,51
hindu,christianity,2016,51
hindu,christianity,2016,44
hindu,islam,2016,44
hindu,islam,2016,44
hindu,christianity,2016,44
hindu,christianity,2016,44
hindu,christianity,2016,44
hindu,islam,2016,44
hindu,islam,2016,44
hindu,christianity,2016,37
hindu,christianity,2016,37
hindu,islam,2016,37
hindu,islam,2016,37
hindu,islam,2016,37
hindu,islam,2016,37
hindu,christianity,2016,37
christian,hindu,2016,37
hindu,islam,2016,35
hindu,islam,2016,35
hindu,islam,2016,35
islam,christianity,2016,35
hindu,islam,2016,35
christian,hindu,2016,35
christian,islam,2016,35
hindu,islam,2016,11
hindu,islam,2016,11
hindu,christianity,2016,11
hindu,islam,2016,11
hindu,islam,2016,11
hindu,islam,2016,11
hindu,islam,2016,11
hindu,christianity,2016,11
hindu,islam,2016,7
hindu,christianity,2016,7
hindu,islam,2016,7
hindu,islam,2016,7
hindu,christianity,2016,7
hindu,christianity,2016,7
hindu,islam,2016,7
christian,hindu,2016,7
christian,hindu,2016,31
hindu,islam,2016,31
hindu,islam,2016,31
hindu,islam,2016,31
hindu,christianity,2016,31
hindu,christianity,2016,31
hindu,christianity,2016,31
hindu,christianity,2016,31
christian,hindu,2016,32
hindu,christianity,2016,32
hindu,islam,2016,32
hindu,islam,2016,32
hindu,islam,2016,32
christian,islam,2016,32
hindu,christianity,2016,32
hindu,islam,2016,46
christian,hindu,2016,46
islam,hindu,2016,46
hindu,christianity,2016,46
islam,hindu,2016,46
hindu,islam,2016,46
hindu,christianity,2016,46
islam,hindu,2016,46
hindu,christianity,2016,20
hindu,islam,2016,20
hindu,islam,2016,20
hindu,islam,2016,20
hindu,christianity,2016,20
hindu,christianity,2016,8
hindu,islam,2016,8
hindu,islam,2016,8
hindu,islam,2016,8
hindu,islam,2016,8
hindu,christianity,2016,8
hindu,islam,2016,45
islam,christianity,2016,45
hindu,christianity,2016,45
christian,hindu,2016,45
christian,hindu,2016,45
hindu,christianity,2016,47
hindu,islam,2016,47
hindu,islam,2016,47
christian,hindu,2016,47
hindu,islam,2016,47
hindu,christianity,2016,47
hindu,christianity,2016,47
hindu,christianity,2016,29
christian,hindu,2016,29
islam,hindu,2016,29
hindu,christianity,2016,29
islam,hindu,2016,29
hindu,christianity,2016,29
hindu,christianity,2016,29
hindu,christianity,2016,28
christian,hindu,2016,28
islam,christianity,2016,28
hindu,islam,2016,28
christian,hindu,2016,49
hindu,christianity,2016,49
hindu,christianity,2016,49
christian,hindu,2016,49
christian,hindu,2016,49
hindu,islam,2016,24
hindu,islam,2016,24
islam,hindu,2016,24
hindu,islam,2016,24
hindu,islam,2016,24
hindu,islam,2016,26
christian,hindu,2016,26
hindu,islam,2016,26
hindu,islam,2016,26
hindu,islam,2016,26
hindu,islam,2016,26
hindu,islam,2016,26
hindu,islam,2016,12
hindu,christianity,2016,12
hindu,islam,2016,12
hindu,islam,2016,12
hindu,islam,2016,12
hindu,christianity,2016,12
hindu,christianity,2016,12
hindu,christianity,2016,12
hindu,christianity,2016,14
hindu,islam,2016,14
hindu,christianity,2016,14
hindu,islam,2016,14
hindu,christianity,2016,14
hindu,islam,2016,14
christian,islam,2016,14
christian,islam,2016,14
hindu,islam,2016,10
christian,hindu,2016,10
hindu,islam,2016,10
hindu,islam,2016,10
hindu,christianity,2016,10
islam,hindu,2016,10
christian,hindu,2016,10
christian,hindu,2016,10
hindu,islam,2016,38
hindu,christianity,2016,38
christian,hindu,2016,38
hindu,christianity,2016,38
hindu,islam,2016,38
hindu,islam,2016,38
hindu,christianity,2016,4
hindu,christianity,2016,4
hindu,christianity,2016,4
hindu,christianity,2016,4
hindu,islam,2016,4
hindu,christianity,2016,4
hindu,christianity,2016,4
hindu,islam,2016,50
hindu,islam,2016,50
hindu,islam,2016,50
hindu,islam,2016,50
christian,hindu,2016,50
hindu,islam,2016,3
islam,hindu,2016,3
hindu,islam,2016,3
christian,islam,2016,3
christian,islam,2016,48
hindu,christianity,2016,48
hindu,christianity,2016,48
hindu,christianity,2016,48
islam,hindu,2016,48
hindu,islam,2016,1
islam,hindu,2016,1
hindu,islam,2016,1
christian,islam,2016,1
hindu,christianity,2016,39
hindu,islam,2016,39
islam,christianity,2016,39
hindu,christianity,2016,39
hindu,islam,2016,39
hindu,christianity,2016,39
hindu,christianity,2016,39
christian,hindu,2016,39
christian,hindu,2016,27
hindu,christianity,2016,27
hindu,christianity,2016,27
hindu,islam,2016,27
hindu,christianity,2016,27
hindu,christianity,2016,30
hindu,islam,2016,30
christian,hindu,2016,30
hindu,islam,2016,30
hindu,islam,2016,30
hindu,christianity,2016,30
christian,islam,2016,30
hindu,islam,2016,30
hindu,christianity,2016,22
hindu,christianity,2016,22
hindu,islam,2016,22
hindu,christianity,2016,22
hindu,islam,2016,22
hindu,christianity,2016,22
islam,hindu,2016,22
hindu,christianity,2016,5
hindu,christianity,2016,5
hindu,christianity,2016,5
christian,hindu,2016,5
hindu,christianity,2016,5
christian,islam,2016,5
hindu,christianity,2016,19
hindu,christianity,2016,19
hindu,christianity,2016,19
hindu,christianity,2016,19
christian,islam,2016,19
hindu,islam,2016,19
hindu,christianity,2016,43
christian,hindu,2016,43
hindu,islam,2016,43
hindu,islam,2016,43
hindu,islam,2016,43
christian,islam,2016,43
christian,hindu,2016,33
hindu,christianity,2016,33
hindu,christianity,2016,33
hindu,christianity,2016,33
hindu,islam,2016,33
hindu,islam,2016,33
hindu,islam,2016,33
hindu,christianity,2016,33
hindu,islam,2016,21
hindu,christianity,2016,21
hindu,islam,2016,21
hindu,islam,2016,21
hindu,christianity,2016,13
hindu,christianity,2016,13
hindu,christianity,2016,13
christian,hindu,2016,13
hindu,christianity,2016,13
islam,hindu,2016,13
hindu,islam,2016,13
hindu,islam,2016,40
christian,hindu,2016,40
hindu,islam,2016,40
hindu,islam,2016,40
hindu,islam,2016,40
hindu,christianity,2016,40
hindu,islam,2016,40
hindu,christianity,2016,40
hindu,islam,2016,40
