from,to,year,week
hindu,islam,2018,20
hindu,islam,2018,20
hindu,islam,2018,20
hindu,islam,2018,20
hindu,christianity,2018,20
hindu,islam,2018,27
christian,hindu,2018,27
christian,hindu,2018,27
islam,hindu,2018,27
hindu,christianity,2018,27
hindu,islam,2018,27
hindu,christianity,2018,8
hindu,christianity,2018,8
hindu,islam,2018,8
hindu,islam,2018,8
hindu,christianity,2018,8
hindu,christianity,2018,26
hindu,christianity,2018,26
hindu,christianity,2018,26
hindu,christianity,2018,26
hindu,islam,2018,26
hindu,christianity,2018,16
hindu,islam,2018,16
hindu,christianity,2018,16
hindu,christianity,2018,16
hindu,islam,2018,16
hindu,islam,2018,7
hindu,islam,2018,7
christian,islam,2018,7
islam,hindu,2018,7
hindu,islam,2018,7
hindu,christianity,2018,7
christian,hindu,2018,24
hindu,christianity,2018,24
hindu,christianity,2018,24
hindu,christianity,2018,24
hindu,islam,2018,24
hindu,christianity,2018,24
hindu,islam,2018,24
islam,hindu,2018,23
islam,hindu,2018,23
christian,hindu,2018,23
hindu,islam,2018,23
hindu,islam,2018,23
hindu,islam,2018,23
hindu,islam,2018,12
hindu,islam,2018,12
hindu,islam,2018,12
islam,christianity,2018,12
hindu,islam,2018,12
hindu,christianity,2018,12
hindu,islam,2018,18
christian,hindu,2018,18
hindu,christianity,2018,18
hindu,islam,2018,18
hindu,islam,2018,18
hindu,islam,2018,18
hindu,islam,2018,37
hindu,islam,2018,37
hindu,islam,2018,37
hindu,christianity,2018,37
hindu,christianity,2018,37
christian,hindu,2018,44
hindu,islam,2018,44
hindu,christianity,2018,44
hindu,islam,2018,44
christian,hindu,2018,44
hindu,christianity,2018,44
islam,hindu,2018,21
hindu,islam,2018,21
hindu,christianity,2018,21
christian,hindu,2018,21
hindu,christianity,2018,21
hindu,christianity,2018,21
hindu,islam,2018,21
hindu,islam,2018,39
christian,islam,2018,39
islam,hindu,2018,39
hindu,islam,2018,39
hindu,christianity,2018,39
christian,islam,2018,4
hindu,islam,2018,4
hindu,islam,2018,4
christian,islam,2018,4
hindu,islam,2018,5
hindu,islam,2018,5
hindu,islam,2018,5
hindu,christianity,2018,5
hindu,christianity,2018,35
hindu,christianity,2018,35
hindu,christianity,2018,35
hindu,islam,2018,35
christian,hindu,2018,38
