from,to,year,week
hindu,islam,2013,2
hindu,islam,2013,2
hindu,islam,2013,2
hindu,christianity,2013,2
christian,hindu,2013,23
hindu,christianity,2013,23
hindu,christianity,2013,23
hindu,islam,2013,23
islam,hindu,2013,23
hindu,christianity,2013,23
hindu,islam,2013,39
hindu,islam,2013,39
islam,hindu,2013,39
hindu,islam,2013,39
christian,hindu,2013,39
hindu,christianity,2013,39
hindu,christianity,2013,39
hindu,islam,2013,49
hindu,islam,2013,49
hindu,christianity,2013,49
christian,islam,2013,49
hindu,islam,2013,49
christian,hindu,2013,49
hindu,islam,2013,49
hindu,islam,2013,7
hindu,islam,2013,7
hindu,christianity,2013,7
hindu,islam,2013,7
hindu,christianity,2013,7
hindu,islam,2013,10
hindu,islam,2013,10
hindu,islam,2013,10
hindu,islam,2013,10
hindu,islam,2013,10
christian,hindu,2013,10
hindu,islam,2013,10
christian,hindu,2013,10
hindu,islam,2013,18
hindu,islam,2013,18
islam,christianity,2013,18
christian,hindu,2013,18
islam,hindu,2013,18
christian,hindu,2013,18
hindu,islam,2013,11
islam,christianity,2013,11
hindu,christianity,2013,11
islam,christianity,2013,11
hindu,christianity,2013,11
hindu,islam,2013,11
